ID,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,class
84,1,1,34,1,4.0,8.0,2,4.0,3.0,2
85,1,0,18,1,9.0,1.0,1,3.0,4.0,1
86,1,0,31,1,1.0,7.0,1,5.0,6.0,4
87,1,1,51,1,5.0,0.0,2,3.0,6.0,3
88,1,1,35,1,5.0,5.0,1,2.0,6.0,3
89,1,0,41,1,4.0,7.0,1,3.0,4.0,4
90,1,1,39,1,7.0,0.0,2,2.0,3.0,4
91,1,0,38,1,4.0,0.0,1,3.0,1.0,2
92,1,1,46,1,5.0,1.0,2,4.0,3.0,3
93,1,1,60,1,5.0,1.0,3,2.0,6.0,3
94,1,1,31,1,4.0,1.0,1,2.0,3.0,4
95,1,1,54,1,5.0,0.0,1,1.0,6.0,2
96,1,1,57,1,5.0,,2,1.0,6.0,4
97,1,0,37,1,5.0,0.0,1,1.0,6.0,4
98,1,1,62,1,5.0,0.0,3,2.0,6.0,3
99,1,1,57,1,7.0,1.0,2,2.0,6.0,3
100,1,1,29,1,2.0,3.0,2,3.0,4.0,4
101,1,1,59,1,5.0,0.0,2,4.0,6.0,3
102,1,1,67,1,6.0,1.0,3,7.0,6.0,2
103,1,1,51,1,5.0,0.0,1,3.0,4.0,1
104,1,1,37,1,6.0,0.0,3,5.0,6.0,1
105,1,1,34,1,1.0,10.0,1,2.0,6.0,2
106,1,0,17,1,7.0,1.0,1,2.0,6.0,4
107,1,1,29,1,8.0,3.0,1,2.0,1.0,4
108,1,0,85,1,3.0,1.0,1,1.0,6.0,4
109,1,1,18,1,1.0,6.0,1,5.0,3.0,4
110,1,0,24,1,1.0,9.0,1,3.0,6.0,4
111,1,1,58,1,4.0,,1,4.0,4.0,1
112,1,0,38,1,5.0,0.0,1,1.0,6.0,1
113,1,1,49,1,7.0,1.0,1,,6.0,2
114,1,0,46,1,5.0,1.0,1,1.0,6.0,3
115,1,1,42,1,6.0,0.0,3,3.0,6.0,4
116,1,1,35,1,6.0,8.0,2,4.0,1.0,2
117,1,1,79,1,3.0,1.0,1,1.0,6.0,4
118,1,0,35,1,5.0,0.0,1,2.0,2.0,3
119,1,0,26,1,,2.0,1,7.0,4.0,4
120,1,1,36,1,5.0,1.0,3,2.0,7.0,1
121,1,1,45,1,6.0,0.0,3,3.0,6.0,3
122,1,1,54,1,6.0,1.0,3,4.0,3.0,2
123,1,1,46,1,2.0,9.0,2,4.0,4.0,2
124,1,0,27,1,1.0,1.0,1,3.0,3.0,4
125,1,1,38,1,4.0,9.0,1,2.0,3.0,4
126,1,1,26,1,9.0,1.0,1,2.0,6.0,1
127,1,1,41,1,2.0,0.0,1,,6.0,1
128,1,1,71,1,5.0,0.0,2,2.0,6.0,3
129,1,1,27,1,2.0,0.0,1,2.0,6.0,1
130,1,0,34,1,4.0,8.0,1,5.0,6.0,3
131,1,1,38,1,6.0,9.0,3,5.0,2.0,1
132,1,1,68,1,3.0,0.0,3,2.0,6.0,3
133,1,0,17,1,1.0,6.0,1,4.0,4.0,4
134,1,1,45,1,5.0,,1,1.0,6.0,1
135,1,1,49,1,2.0,1.0,3,2.0,4.0,2
136,1,0,29,1,6.0,5.0,1,5.0,6.0,1
137,1,0,40,1,5.0,,1,2.0,6.0,2
138,1,0,38,1,5.0,3.0,1,4.0,6.0,4
139,1,0,28,1,9.0,8.0,1,4.0,6.0,4
140,1,1,36,1,5.0,4.0,1,4.0,5.0,2
141,1,1,38,1,2.0,0.0,2,2.0,6.0,1
142,1,1,47,1,5.0,0.0,2,5.0,7.0,3
143,1,0,31,1,7.0,0.0,1,3.0,6.0,3
144,1,1,77,1,3.0,1.0,1,,6.0,2
145,1,1,42,1,2.0,0.0,2,5.0,4.0,2
146,1,0,28,1,9.0,8.0,1,5.0,6.0,3
147,1,1,27,1,2.0,9.0,2,2.0,4.0,1
148,1,1,79,1,3.0,1.0,1,1.0,6.0,2
149,1,0,27,1,1.0,7.0,1,4.0,6.0,4
150,1,1,70,1,5.0,6.0,2,3.0,6.0,3
151,1,1,66,1,3.0,0.0,3,9.0,4.0,1
152,1,0,25,1,2.0,0.0,1,1.0,2.0,1
153,1,1,46,1,2.0,0.0,2,2.0,6.0,3
154,1,1,42,1,5.0,2.0,2,2.0,6.0,2
155,1,0,26,1,1.0,0.0,1,4.0,6.0,3
156,1,1,44,1,9.0,8.0,1,4.0,6.0,4
157,1,1,75,1,6.0,1.0,1,1.0,6.0,3
158,1,1,42,1,5.0,3.0,2,4.0,6.0,3
159,1,1,77,1,3.0,1.0,3,2.0,6.0,2
160,1,1,34,1,5.0,3.0,2,3.0,6.0,3
161,1,0,48,1,5.0,1.0,1,1.0,6.0,3
162,1,0,24,1,1.0,1.0,1,5.0,6.0,4
163,1,1,36,1,6.0,0.0,2,5.0,6.0,1
164,1,0,31,1,1.0,1.0,1,5.0,,3
165,1,1,59,1,7.0,0.0,2,2.0,6.0,3
166,1,1,44,1,5.0,5.0,2,3.0,6.0,3
167,1,1,48,1,8.0,9.0,2,3.0,6.0,3
168,1,0,31,1,5.0,0.0,1,5.0,6.0,4
169,1,1,39,1,5.0,0.0,1,3.0,3.0,2
170,1,1,58,1,5.0,2.0,2,2.0,4.0,3
171,1,1,47,1,5.0,3.0,1,5.0,6.0,2
172,1,1,81,1,6.0,0.0,3,2.0,6.0,3
173,1,1,69,1,3.0,0.0,1,2.0,6.0,2
174,1,0,30,1,5.0,5.0,1,2.0,6.0,2
175,1,1,71,1,3.0,0.0,3,2.0,6.0,3
176,1,1,49,1,5.0,3.0,2,4.0,6.0,3
177,1,0,22,1,2.0,11.0,1,1.0,3.0,4
178,1,0,19,1,1.0,2.0,1,6.0,6.0,4
179,1,0,21,1,1.0,4.0,1,3.0,6.0,4
180,1,0,30,1,2.0,8.0,1,1.0,6.0,1
181,1,1,35,1,5.0,7.0,2,2.0,6.0,3
182,1,1,51,1,4.0,,2,5.0,4.0,2
183,1,0,28,1,5.0,,1,1.0,4.0,2
184,1,1,39,1,5.0,4.0,2,4.0,6.0,3
185,1,0,39,1,5.0,1.0,1,1.0,6.0,1
186,1,1,37,1,5.0,,1,2.0,6.0,3
187,1,1,84,1,3.0,,1,,,1
188,1,0,20,1,7.0,1.0,1,3.0,7.0,1
189,1,1,40,1,2.0,4.0,2,2.0,6.0,4
190,1,1,39,1,5.0,0.0,1,2.0,6.0,2
191,1,1,52,1,5.0,1.0,2,3.0,6.0,2
192,1,1,41,1,5.0,5.0,1,2.0,6.0,3
193,1,1,41,1,6.0,8.0,1,2.0,6.0,4
194,1,1,47,1,5.0,,2,4.0,7.0,3
195,1,1,58,1,5.0,7.0,1,2.0,6.0,3
196,1,1,40,1,6.0,1.0,2,3.0,6.0,1
197,1,1,30,1,5.0,0.0,2,2.0,6.0,1
198,1,1,48,1,5.0,1.0,3,5.0,6.0,2
199,1,1,66,1,6.0,1.0,1,2.0,6.0,1
200,1,1,34,1,5.0,4.0,2,2.0,6.0,2
201,1,0,25,1,1.0,0.0,1,3.0,6.0,3
202,1,1,18,1,1.0,9.0,1,3.0,3.0,4
203,1,1,24,1,2.0,6.0,2,8.0,4.0,4
204,1,1,38,1,1.0,4.0,1,2.0,6.0,1
205,1,1,62,1,4.0,0.0,1,2.0,6.0,1
206,1,0,22,1,1.0,8.0,1,3.0,6.0,4
207,1,0,22,1,1.0,0.0,1,3.0,3.0,4
208,1,1,52,1,5.0,2.0,1,1.0,6.0,3
209,1,0,32,1,7.0,0.0,1,2.0,6.0,2
210,1,1,49,1,2.0,,2,4.0,2.0,2
211,1,1,68,1,2.0,0.0,1,2.0,4.0,2
212,1,0,36,1,5.0,2.0,1,1.0,6.0,2
213,1,0,19,1,9.0,3.0,1,4.0,7.0,3
214,1,1,84,1,3.0,0.0,3,1.0,3.0,3
215,1,1,48,1,7.0,1.0,2,4.0,6.0,3
216,1,0,17,1,1.0,0.0,1,3.0,3.0,4
217,1,1,51,1,7.0,0.0,2,2.0,6.0,3
218,1,1,24,1,7.0,,2,2.0,4.0,2
219,1,1,55,1,6.0,,3,2.0,6.0,1
220,1,0,61,1,,0.0,1,1.0,6.0,1
221,1,0,34,1,5.0,0.0,1,3.0,6.0,2
222,1,1,27,1,2.0,0.0,2,2.0,6.0,1
223,1,0,27,1,5.0,7.0,1,3.0,6.0,1
224,1,0,19,1,1.0,0.0,1,5.0,7.0,4
225,1,0,26,1,8.0,8.0,1,1.0,3.0,4
226,1,0,55,1,2.0,,1,1.0,6.0,1
227,1,1,44,1,5.0,4.0,2,4.0,6.0,2
228,1,0,24,1,1.0,1.0,1,4.0,4.0,2
229,1,0,39,1,9.0,1.0,1,1.0,4.0,4
230,1,1,24,1,1.0,,1,2.0,6.0,4
231,1,1,73,1,3.0,,3,2.0,6.0,4
232,1,0,22,1,1.0,0.0,1,4.0,,4
233,1,1,66,1,3.0,0.0,3,2.0,6.0,2
234,1,0,20,1,1.0,0.0,1,4.0,,4
235,1,0,37,1,5.0,9.0,1,1.0,3.0,1
236,1,0,27,1,1.0,0.0,1,4.0,2.0,3
237,1,0,31,1,1.0,1.0,1,5.0,7.0,2
238,1,0,32,1,,0.0,1,4.0,,4
239,1,1,55,1,3.0,1.0,3,4.0,4.0,2
240,1,1,52,1,5.0,1.0,1,2.0,6.0,3
241,1,1,56,1,6.0,1.0,3,5.0,6.0,3
242,1,1,58,1,5.0,0.0,2,3.0,6.0,3
243,1,1,24,1,1.0,1.0,3,4.0,4.0,1
244,1,1,58,1,5.0,0.0,2,6.0,6.0,3
245,1,1,35,1,5.0,0.0,1,4.0,6.0,3
246,1,1,36,1,4.0,7.0,1,2.0,6.0,1
247,1,0,21,1,7.0,1.0,1,3.0,2.0,4
248,1,1,42,1,5.0,1.0,1,2.0,6.0,2
249,1,1,40,1,5.0,1.0,1,2.0,4.0,1
250,1,0,20,1,2.0,0.0,1,5.0,2.0,2
251,1,0,48,1,2.0,1.0,1,,7.0,1
252,1,0,37,1,7.0,8.0,1,1.0,2.0,2
253,1,1,46,1,5.0,,2,4.0,6.0,1
254,1,1,69,1,3.0,1.0,3,3.0,6.0,3
255,1,0,30,1,2.0,1.0,1,4.0,6.0,2
256,1,1,81,1,3.0,0.0,2,2.0,6.0,1
257,1,1,50,1,6.0,,1,1.0,6.0,1
258,1,0,41,1,8.0,11.0,1,,6.0,1
259,1,0,37,1,5.0,8.0,1,3.0,2.0,1
260,1,1,17,1,6.0,0.0,3,4.0,6.0,1
261,1,1,49,1,5.0,6.0,2,3.0,6.0,3
262,1,0,45,1,7.0,1.0,1,,3.0,1
263,1,1,71,1,3.0,1.0,3,3.0,6.0,4
264,1,0,32,1,2.0,,1,4.0,6.0,3
265,1,0,24,1,8.0,1.0,1,7.0,4.0,2
266,1,1,74,1,4.0,2.0,3,2.0,2.0,4
267,1,0,71,1,5.0,1.0,1,1.0,6.0,2
268,1,1,71,1,5.0,0.0,2,3.0,4.0,3
269,1,1,35,1,4.0,6.0,1,6.0,4.0,1
270,1,1,39,1,5.0,1.0,1,2.0,6.0,1
271,1,0,27,1,4.0,0.0,1,4.0,6.0,3
272,1,0,27,1,7.0,0.0,1,3.0,6.0,4
273,1,1,18,1,4.0,0.0,3,3.0,4.0,4
274,1,1,42,1,5.0,0.0,1,2.0,4.0,2
275,1,1,34,1,5.0,1.0,2,2.0,6.0,2
276,1,1,64,1,3.0,1.0,3,2.0,6.0,2
277,1,1,51,1,6.0,7.0,3,4.0,4.0,3
278,1,0,39,1,5.0,1.0,1,1.0,6.0,2
279,1,1,68,1,2.0,9.0,1,3.0,6.0,1
280,1,0,21,1,1.0,3.0,1,3.0,6.0,4
281,1,1,46,1,6.0,1.0,2,4.0,6.0,3
282,1,1,28,1,9.0,1.0,3,2.0,3.0,1
283,1,1,45,1,5.0,1.0,2,3.0,3.0,3
284,1,0,31,1,5.0,1.0,1,2.0,6.0,1
285,1,0,37,1,1.0,0.0,1,1.0,2.0,3
286,1,1,58,1,5.0,0.0,1,1.0,6.0,2
287,1,0,25,1,4.0,1.0,1,1.0,6.0,4
288,1,0,25,1,1.0,1.0,1,2.0,3.0,1
289,1,0,27,1,9.0,0.0,1,1.0,3.0,4
290,1,1,52,1,2.0,1.0,2,3.0,6.0,3
291,1,0,42,1,4.0,,1,1.0,6.0,2
292,1,0,26,1,7.0,1.0,1,3.0,6.0,4
293,1,0,31,1,5.0,,1,8.0,6.0,3
294,1,0,25,1,2.0,0.0,1,4.0,4.0,4
295,1,0,30,1,4.0,0.0,1,2.0,6.0,4
296,1,1,38,1,6.0,1.0,3,3.0,3.0,2
297,1,1,42,1,2.0,1.0,1,3.0,7.0,1
298,1,1,24,1,7.0,1.0,1,2.0,1.0,1
299,1,1,39,1,5.0,3.0,3,3.0,6.0,1
300,1,1,39,1,4.0,7.0,2,2.0,3.0,2
301,1,1,62,1,4.0,,2,3.0,6.0,3
302,1,1,26,1,1.0,,1,2.0,6.0,4
303,1,0,26,1,1.0,1.0,1,3.0,6.0,4
304,1,0,18,1,1.0,1.0,1,2.0,6.0,4
305,1,1,85,1,3.0,0.0,3,2.0,6.0,2
306,1,1,40,1,9.0,,3,2.0,6.0,2
307,1,1,26,1,5.0,4.0,2,2.0,3.0,3
308,1,1,69,1,7.0,0.0,2,2.0,6.0,2
309,1,1,52,1,2.0,8.0,2,4.0,4.0,2
310,1,1,48,1,2.0,,2,4.0,4.0,2
311,1,1,54,1,6.0,3.0,1,,4.0,4
312,1,1,56,1,2.0,0.0,2,4.0,2.0,3
313,1,1,82,1,3.0,,1,1.0,4.0,2
314,1,1,42,1,6.0,0.0,3,4.0,6.0,1
315,1,1,35,1,7.0,6.0,1,3.0,6.0,1
316,1,1,73,1,3.0,0.0,1,2.0,6.0,3
317,1,0,29,1,8.0,0.0,1,4.0,6.0,4
318,1,0,36,1,5.0,5.0,1,2.0,6.0,2
319,1,0,21,1,9.0,0.0,1,1.0,5.0,2
320,1,0,18,1,1.0,0.0,1,4.0,6.0,4
321,1,1,69,1,2.0,4.0,3,2.0,6.0,2
322,1,1,88,1,3.0,13.0,1,1.0,6.0,1
323,1,0,17,1,1.0,,1,4.0,6.0,4
324,1,0,24,1,7.0,6.0,1,1.0,2.0,4
325,1,0,44,1,5.0,4.0,1,1.0,3.0,1
326,1,0,34,1,5.0,3.0,1,1.0,4.0,1
327,1,1,36,1,2.0,7.0,1,1.0,4.0,4
328,1,1,38,1,2.0,4.0,2,2.0,6.0,2
329,1,0,31,1,1.0,1.0,1,5.0,4.0,4
330,1,1,61,1,5.0,2.0,2,3.0,6.0,3
331,1,1,57,1,2.0,0.0,2,4.0,4.0,2
332,1,0,31,1,2.0,,1,4.0,6.0,3
333,1,0,24,1,1.0,0.0,1,5.0,6.0,3
334,1,1,55,1,5.0,0.0,2,4.0,6.0,3
335,1,0,35,1,4.0,10.0,1,2.0,6.0,1
336,1,0,29,1,1.0,8.0,1,3.0,6.0,1
337,1,0,18,1,1.0,1.0,1,5.0,6.0,4
338,1,0,26,1,1.0,0.0,1,2.0,6.0,1
339,1,0,37,1,7.0,14.0,1,1.0,6.0,1
340,1,1,45,1,5.0,8.0,2,2.0,6.0,3
341,1,0,28,1,5.0,3.0,1,1.0,6.0,2
342,1,1,50,1,4.0,1.0,2,4.0,7.0,2
343,1,1,54,1,5.0,0.0,1,1.0,6.0,1
344,1,1,68,1,2.0,1.0,1,1.0,3.0,1
345,1,0,25,1,1.0,1.0,1,8.0,7.0,3
346,1,1,82,1,3.0,0.0,1,3.0,6.0,1
347,1,0,38,1,1.0,9.0,1,1.0,6.0,4
348,1,1,34,1,5.0,9.0,1,1.0,6.0,1
349,1,1,18,1,9.0,2.0,3,5.0,6.0,3
350,1,1,59,1,5.0,,3,4.0,6.0,3
351,1,1,34,1,5.0,,2,4.0,6.0,3
352,1,0,52,1,2.0,,1,1.0,6.0,2
353,1,1,85,1,3.0,,1,,6.0,2
354,1,0,28,1,1.0,1.0,1,3.0,6.0,2
355,1,0,25,1,7.0,0.0,1,1.0,6.0,4
356,1,0,35,1,2.0,8.0,1,1.0,6.0,1
357,1,0,21,1,8.0,0.0,1,4.0,6.0,4
358,1,0,18,1,9.0,0.0,1,5.0,6.0,1
359,1,1,19,1,3.0,1.0,2,3.0,3.0,1
360,1,0,42,1,1.0,3.0,1,3.0,6.0,4
361,1,0,41,1,5.0,,1,3.0,6.0,1
362,1,0,42,1,4.0,1.0,1,2.0,4.0,1
363,1,1,49,1,2.0,4.0,3,3.0,6.0,2
364,1,0,24,1,4.0,1.0,1,2.0,6.0,1
365,1,1,60,1,5.0,1.0,3,2.0,6.0,2
366,1,1,27,1,1.0,0.0,2,2.0,6.0,1
367,1,0,37,1,5.0,1.0,1,1.0,6.0,4
368,1,0,24,1,6.0,12.0,1,3.0,6.0,1
369,1,0,17,1,1.0,9.0,1,5.0,4.0,4
370,1,1,42,1,4.0,1.0,2,5.0,5.0,3
371,1,0,26,1,5.0,8.0,1,1.0,6.0,2
372,1,0,59,1,4.0,1.0,1,2.0,6.0,4
373,1,1,74,1,3.0,2.0,1,1.0,6.0,4
374,1,0,30,1,7.0,,1,4.0,6.0,4
375,1,0,22,1,7.0,6.0,1,4.0,2.0,4
376,1,0,35,1,5.0,8.0,1,1.0,6.0,1
377,1,0,29,1,7.0,1.0,1,1.0,3.0,3
378,1,1,55,1,5.0,1.0,2,2.0,6.0,3
379,1,1,51,1,5.0,2.0,1,2.0,6.0,3
380,1,1,38,1,4.0,0.0,1,1.0,6.0,4
381,1,0,34,1,5.0,5.0,1,1.0,6.0,1
382,1,1,32,1,2.0,0.0,2,2.0,6.0,2
383,1,0,24,1,5.0,0.0,1,6.0,6.0,1
384,1,1,26,1,5.0,0.0,2,2.0,4.0,2
385,1,1,34,1,5.0,1.0,3,3.0,6.0,1
386,1,1,40,1,5.0,1.0,2,2.0,6.0,3
387,1,1,48,1,5.0,,2,3.0,7.0,3
388,1,1,45,1,5.0,8.0,2,2.0,6.0,2
389,1,0,30,1,1.0,,1,2.0,6.0,4
390,1,0,48,1,7.0,,1,1.0,6.0,3
391,1,0,25,1,5.0,9.0,1,1.0,6.0,1
392,1,1,42,1,7.0,13.0,3,2.0,6.0,2
393,1,1,29,1,5.0,8.0,1,4.0,6.0,1
394,1,1,69,1,5.0,1.0,2,4.0,6.0,3
395,1,0,27,1,5.0,,1,1.0,6.0,4
396,1,1,88,1,3.0,3.0,3,1.0,6.0,4
397,1,1,41,1,8.0,6.0,3,4.0,6.0,2
398,1,1,36,1,4.0,6.0,2,3.0,4.0,1
399,1,1,28,1,6.0,1.0,2,3.0,6.0,4
400,1,1,67,1,5.0,1.0,3,2.0,6.0,3
401,1,0,24,1,2.0,1.0,1,1.0,4.0,4
402,1,0,28,1,1.0,1.0,1,,6.0,4
403,1,1,47,1,7.0,0.0,1,2.0,6.0,3
404,1,1,50,1,7.0,1.0,2,3.0,1.0,3
405,1,1,39,1,2.0,1.0,3,5.0,2.0,2
406,1,1,46,1,5.0,0.0,2,6.0,7.0,2
407,1,1,38,1,6.0,,3,3.0,6.0,2
408,1,1,34,1,6.0,1.0,2,4.0,6.0,3
409,1,0,18,1,1.0,2.0,1,3.0,6.0,4
410,1,0,20,1,1.0,7.0,1,,6.0,4
411,1,1,45,1,4.0,0.0,2,3.0,4.0,2
412,1,1,85,1,3.0,0.0,1,1.0,6.0,2
413,1,1,65,1,5.0,0.0,3,2.0,6.0,2
414,1,0,41,1,9.0,1.0,1,5.0,4.0,4
415,1,1,72,1,3.0,1.0,3,2.0,6.0,2
416,1,1,71,1,2.0,1.0,1,1.0,6.0,1
417,1,1,52,1,5.0,0.0,1,3.0,6.0,2
418,1,1,38,1,5.0,8.0,2,2.0,6.0,3
419,1,0,26,1,8.0,9.0,1,1.0,6.0,4
420,1,1,62,1,4.0,1.0,2,,6.0,2
421,1,0,22,1,1.0,1.0,1,3.0,4.0,4
422,1,0,29,1,4.0,0.0,1,4.0,6.0,2
423,1,1,38,1,5.0,5.0,2,2.0,6.0,3
424,1,1,25,1,5.0,1.0,2,3.0,6.0,2
425,1,1,49,1,4.0,7.0,1,3.0,6.0,1
426,1,1,44,1,5.0,1.0,2,2.0,6.0,3
427,1,0,61,1,4.0,2.0,1,1.0,6.0,1
428,1,0,26,1,7.0,1.0,1,3.0,6.0,1
429,1,1,56,1,4.0,1.0,1,,6.0,1
430,1,1,29,1,2.0,1.0,2,7.0,4.0,1
431,1,0,31,1,1.0,7.0,1,4.0,3.0,1
432,1,0,17,1,6.0,,1,5.0,4.0,1
433,1,0,46,1,5.0,3.0,1,3.0,5.0,2
434,1,0,31,1,5.0,4.0,1,4.0,2.0,1
435,1,1,31,1,2.0,5.0,1,3.0,1.0,1
436,1,1,66,1,7.0,1.0,2,4.0,6.0,2
437,1,1,76,1,3.0,0.0,3,2.0,6.0,3
438,1,1,78,1,,0.0,2,2.0,,3
439,1,0,30,1,4.0,1.0,1,1.0,4.0,1
440,1,1,41,1,5.0,0.0,1,3.0,4.0,1
441,1,0,17,1,,0.0,1,6.0,6.0,4
442,1,1,49,1,5.0,1.0,2,4.0,2.0,3
443,1,1,70,1,5.0,0.0,2,5.0,6.0,3
444,1,1,71,1,3.0,1.0,1,3.0,6.0,1
445,1,1,46,1,5.0,,1,3.0,6.0,1
446,1,1,44,1,5.0,9.0,2,2.0,6.0,3
447,1,0,39,1,2.0,9.0,1,5.0,4.0,1
448,1,0,35,1,2.0,4.0,1,1.0,6.0,1
449,1,0,41,1,5.0,,1,1.0,6.0,2
450,1,0,29,1,1.0,4.0,1,4.0,6.0,4
451,1,0,28,1,1.0,2.0,1,4.0,4.0,2
452,1,0,27,1,2.0,0.0,1,5.0,4.0,4
453,1,1,21,1,1.0,,1,2.0,6.0,4
454,1,1,84,1,3.0,,1,1.0,6.0,4
455,1,1,39,1,5.0,1.0,2,2.0,6.0,3
456,1,1,51,1,5.0,14.0,2,2.0,6.0,3
457,1,1,46,1,5.0,0.0,1,,6.0,3
458,1,0,25,1,5.0,6.0,1,6.0,5.0,4
459,1,0,54,1,9.0,3.0,1,1.0,6.0,2
460,1,0,19,1,7.0,4.0,1,4.0,6.0,4
461,1,1,86,1,3.0,0.0,3,2.0,6.0,3
462,1,0,27,1,1.0,0.0,1,2.0,4.0,1
463,1,0,37,1,5.0,2.0,1,2.0,3.0,1
464,1,1,41,1,4.0,1.0,1,2.0,4.0,2
465,1,1,41,1,9.0,0.0,3,6.0,4.0,1
466,1,0,28,1,2.0,1.0,1,4.0,6.0,4
467,1,0,31,1,7.0,0.0,1,4.0,6.0,1
468,1,1,37,1,6.0,,3,5.0,4.0,4
469,1,1,58,1,5.0,1.0,3,2.0,6.0,3
470,1,0,21,1,1.0,0.0,1,2.0,3.0,4
471,1,0,25,1,8.0,9.0,1,,4.0,4
472,1,1,77,1,5.0,1.0,3,2.0,6.0,3
